GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Type_Occupation,Family_Members,Label,Age,Employment_Status,Employed_years,income_bin
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,46.29041095890411,Y,0.6794520547945205,22.2-30w
M,N,Y,0,270000.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,2,rejected,46.29041095890411,Y,0.6794520547945205,22.2-30w
F,N,Y,0,126000.0,Commercial associate,Higher education,not married,House / apartment,Sales staff,1,rejected,51.8,Y,6.767123287671233,10.8-14.4w
M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,51.679452054794524,Y,4.504109589041096,7.2-10.8w
M,N,N,0,202500.0,Working,Higher education,not married,House / apartment,Unknown,1,rejected,35.0986301369863,Y,11.854794520547944,14.4-22.2w
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,32.93698630136986,Y,4.586301369863014,14.4-22.2w
M,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,rejected,48.76712328767123,Y,2.9753424657534246,14.4-22.2w
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,4,rejected,33.24657534246575,Y,2.5342465753424657,10.8-14.4w
F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,Laborers,2,rejected,43.76986301369863,Y,2.33972602739726,14.4-22.2w
F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,Unknown,2,rejected,43.01917808219178,Y,0.5068493150684932,30-66w
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,59.81369863013698,N,,10.8-14.4w
F,N,Y,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,59.81369863013698,N,,14.4-22.2w
F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,rejected,30.44109589041096,Y,9.178082191780822,22.2-30w
M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,Managers,2,rejected,54.78356164383562,Y,1.893150684931507,30-66w
F,N,Y,0,90000.0,Working,Lower secondary,not married,Rented apartment,Cleaning staff,2,rejected,32.94794520547945,Y,13.068493150684931,7.2-10.8w
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,59.93424657534246,N,,10.8-14.4w
F,N,N,0,135000.0,Working,Higher education,not married,House / apartment,Laborers,1,rejected,29.44931506849315,Y,6.558904109589041,10.8-14.4w
F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,rejected,43.704109589041096,Y,1.0520547945205478,10.8-14.4w
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,35.657534246575345,Y,9.991780821917809,14.4-22.2w
M,Y,N,0,112500.0,State servant,Secondary / secondary special,not married,House / apartment,Drivers,2,rejected,55.706849315068496,Y,4.235616438356164,10.8-14.4w
M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,Drivers,2,rejected,57.68493150684932,Y,2.213698630136986,22.2-30w
F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,65.3013698630137,N,,7.2-10.8w
M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,52.534246575342465,Y,3.5205479452054793,14.4-22.2w
M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,Unknown,1,rejected,44.298630136986304,Y,2.3424657534246576,30-66w
F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,Unknown,4,rejected,43.98082191780822,Y,20.18904109589041,22.2-30w
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,rejected,63.797260273972604,N,,22.2-30w
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Low-skill Laborers,3,rejected,42.37260273972603,Y,6.2164383561643834,14.4-22.2w
F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Low-skill Laborers,3,rejected,42.37260273972603,Y,6.2164383561643834,14.4-22.2w
F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,rejected,51.726027397260275,Y,11.271232876712329,3.6-7.2w
M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,rejected,30.386301369863013,Y,3.180821917808219,14.4-22.2w
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,50.21095890410959,Y,19.96712328767123,14.4-22.2w
M,N,N,0,171000.0,Commercial associate,Incomplete higher,not married,House / apartment,High skill tech staff,1,rejected,31.80821917808219,Y,0.4547945205479452,14.4-22.2w
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,rejected,26.284931506849315,Y,2.372602739726027,10.8-14.4w
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,IT staff,2,rejected,28.482191780821918,Y,1.5452054794520549,7.2-10.8w
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,rejected,49.082191780821915,Y,9.221917808219178,22.2-30w
F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,rejected,51.14246575342466,Y,5.890410958904109,14.4-22.2w
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,rejected,44.9972602739726,Y,3.9945205479452053,14.4-22.2w
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,rejected,44.9972602739726,Y,3.9945205479452053,14.4-22.2w
F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,4,rejected,45.50958904109589,Y,22.92876712328767,14.4-22.2w
F,N,N,2,180000.0,Working,Secondary / secondary special,not married,House / apartment,Unknown,4,rejected,45.50958904109589,Y,22.92876712328767,14.4-22.2w
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,Unknown,1,rejected,67.42739726027398,N,,7.2-10.8w
F,N,Y,0,162000.0,Pensioner,Higher education,Separated,House / apartment,Unknown,1,rejected,67.42739726027398,N,,14.4-22.2w
M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,Unknown,1,rejected,67.42739726027398,N,,7.2-10.8w
M,N,N,0,391500.0,Working,Secondary / secondary special,not married,Municipal apartment,Sales staff,1,rejected,25.32054794520548,Y,1.3917808219178083,30-66w
M,N,N,0,391500.0,Working,Secondary / secondary special,not married,Municipal apartment,Sales staff,1,rejected,42.76986301369863,Y,1.3917808219178083,30-66w
M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,rejected,57.18356164383562,N,,3.6-7.2w
M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,Unknown,2,rejected,64.17260273972603,N,,7.2-10.8w
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Unknown,2,rejected,59.35342465753425,N,,22.2-30w
F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,Waiters/barmen staff,3,rejected,24.991780821917807,Y,4.293150684931507,3.6-7.2w
M,N,N,1,180000.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,2,rejected,35.47123287671233,Y,0.37534246575342467,14.4-22.2w
M,N,Y,1,162000.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,2,rejected,35.47123287671233,Y,0.37534246575342467,14.4-22.2w
F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,High skill tech staff,2,rejected,41.534246575342465,Y,10.887671232876713,14.4-22.2w
F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,52.06575342465754,Y,4.301369863013699,14.4-22.2w
F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,Laborers,3,rejected,26.054794520547944,Y,7.884931506849315,14.4-22.2w
F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,Sales staff,2,rejected,38.4986301369863,Y,0.3835616438356164,22.2-30w
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,37.20821917808219,Y,7.057534246575343,10.8-14.4w
F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,Core staff,1,rejected,52.89041095890411,Y,5.219178082191781,30-66w
F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,rejected,30.71232876712329,Y,4.723287671232876,22.2-30w
F,Y,Y,0,256500.0,Commercial associate,Higher education,not married,House / apartment,Accountants,2,rejected,30.71232876712329,Y,4.723287671232876,22.2-30w
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,rejected,42.84931506849315,Y,3.638356164383562,14.4-22.2w
F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,4,rejected,39.66027397260274,Y,13.663013698630136,22.2-30w
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,Unknown,3,rejected,33.56986301369863,Y,9.578082191780823,14.4-22.2w
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,Laborers,2,rejected,37.58904109589041,Y,3.819178082191781,14.4-22.2w
M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,Managers,2,rejected,51.12602739726027,Y,3.4657534246575343,30-66w
F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,Accountants,2,rejected,55.51780821917808,Y,6.934246575342466,22.2-30w
M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Unknown,3,rejected,34.945205479452056,Y,5.767123287671233,10.8-14.4w
F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Security staff,2,rejected,42.33424657534247,Y,2.356164383561644,>66w
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,29.34794520547945,Y,0.5945205479452055,10.8-14.4w
M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,rejected,47.45205479452055,Y,1.4657534246575343,22.2-30w
F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,60.57808219178082,N,,7.2-10.8w
M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,Core staff,3,rejected,41.134246575342466,Y,18.81095890410959,7.2-10.8w
F,N,N,0,135000.0,Working,Secondary / secondary special,not married,Rented apartment,Core staff,1,rejected,54.827397260273976,Y,1.6,10.8-14.4w
F,N,Y,0,180000.0,Working,Lower secondary,not married,House / apartment,Cleaning staff,1,rejected,46.035616438356165,Y,6.101369863013699,14.4-22.2w
F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,Managers,2,rejected,51.97534246575343,Y,22.35890410958904,10.8-14.4w
M,Y,N,0,180000.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,1,rejected,44.68493150684932,Y,1.6794520547945206,14.4-22.2w
M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,rejected,62.846575342465755,N,,22.2-30w
M,Y,N,0,162000.0,Commercial associate,Higher education,not married,Municipal apartment,High skill tech staff,1,rejected,31.583561643835615,Y,1.6602739726027398,14.4-22.2w
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,2,rejected,54.14794520547945,Y,19.024657534246575,10.8-14.4w
M,N,N,0,225000.0,Working,Secondary / secondary special,not married,Municipal apartment,Security staff,1,rejected,53.16712328767123,Y,0.947945205479452,22.2-30w
F,N,N,0,67500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,rejected,63.75616438356165,N,,3.6-7.2w
F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,63.9013698630137,N,,10.8-14.4w
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,Unknown,3,rejected,31.043835616438358,Y,4.953424657534247,10.8-14.4w
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,rejected,39.78904109589041,Y,9.36986301369863,14.4-22.2w
F,N,Y,0,202500.0,Working,Secondary / secondary special,not married,House / apartment,Core staff,2,rejected,39.78904109589041,Y,9.36986301369863,14.4-22.2w
M,Y,Y,0,126000.0,Working,Higher education,not married,House / apartment,Managers,1,rejected,39.78630136986301,Y,2.3643835616438356,10.8-14.4w
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,62.06849315068493,N,,14.4-22.2w
F,N,Y,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,62.06849315068493,N,,14.4-22.2w
M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Core staff,2,rejected,41.224657534246575,Y,20.693150684931506,14.4-22.2w
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,rejected,35.676712328767124,Y,10.76986301369863,14.4-22.2w
F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,Unknown,1,rejected,61.038356164383565,N,,7.2-10.8w
F,N,N,0,81000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,rejected,65.48493150684932,N,,7.2-10.8w
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Unknown,2,rejected,58.52876712328767,N,,10.8-14.4w
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,not married,Municipal apartment,Unknown,2,rejected,58.52876712328767,N,,10.8-14.4w
M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Unknown,2,rejected,58.52876712328767,N,,10.8-14.4w
F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,49.676712328767124,Y,2.8465753424657536,7.2-10.8w
F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,Laborers,2,rejected,38.18904109589041,Y,0.36712328767123287,14.4-22.2w
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,57.11232876712329,N,,14.4-22.2w
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,High skill tech staff,2,rejected,44.967123287671235,Y,1.704109589041096,10.8-14.4w
M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,not married,Municipal apartment,Cooking staff,1,rejected,49.36986301369863,Y,4.36986301369863,22.2-30w
M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Laborers,3,rejected,35.6986301369863,Y,4.454794520547945,10.8-14.4w
F,N,Y,2,135000.0,Commercial associate,Lower secondary,Married,With parents,Sales staff,4,rejected,27.019178082191782,Y,5.117808219178082,10.8-14.4w
F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,58.202739726027396,N,,14.4-22.2w
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,Security staff,2,rejected,55.07671232876712,Y,1.5205479452054795,10.8-14.4w
F,N,Y,0,135000.0,State servant,Higher education,not married,Municipal apartment,Core staff,1,rejected,29.205479452054796,Y,5.301369863013699,10.8-14.4w
M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,rejected,51.605479452054794,Y,2.5506849315068494,14.4-22.2w
F,N,Y,1,585000.0,Commercial associate,Higher education,not married,House / apartment,Managers,2,rejected,28.575342465753426,Y,2.4657534246575343,30-66w
M,Y,Y,2,162000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4,rejected,48.87945205479452,Y,11.794520547945206,14.4-22.2w
M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4,rejected,48.87945205479452,Y,11.794520547945206,30-66w
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,rejected,44.394520547945206,Y,2.5342465753424657,10.8-14.4w
F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,Core staff,1,rejected,51.92328767123288,Y,1.367123287671233,3.6-7.2w
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,Core staff,1,rejected,51.92328767123288,Y,1.367123287671233,3.6-7.2w
M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,3,rejected,35.46849315068493,Y,6.624657534246575,14.4-22.2w
F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,rejected,59.15068493150685,N,,30-66w
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,60.3041095890411,N,,7.2-10.8w
M,Y,Y,0,225000.0,Working,Secondary / secondary special,not married,House / apartment,Managers,1,rejected,27.882191780821916,Y,0.5178082191780822,22.2-30w
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,rejected,34.85753424657534,Y,3.1013698630136988,10.8-14.4w
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,rejected,55.605479452054794,Y,4.8493150684931505,10.8-14.4w
F,N,Y,0,135000.0,Working,Secondary / secondary special,not married,House / apartment,Managers,1,rejected,39.43561643835616,Y,2.5178082191780824,10.8-14.4w
M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,Security staff,2,rejected,47.14794520547945,Y,2.9616438356164383,10.8-14.4w
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,Core staff,3,rejected,26.97808219178082,Y,1.3753424657534246,30-66w
F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,Core staff,3,rejected,26.97808219178082,Y,1.3753424657534246,30-66w
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,Managers,2,rejected,47.52876712328767,Y,6.63013698630137,30-66w
F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,Medicine staff,2,rejected,33.93698630136986,Y,3.6301369863013697,14.4-22.2w
F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,Medicine staff,2,rejected,33.93698630136986,Y,3.6301369863013697,14.4-22.2w
F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,Cleaning staff,3,approved,43.14794520547945,Y,17.443835616438356,7.2-10.8w
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,48.66301369863014,Y,6.8054794520547945,22.2-30w
F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,approved,35.46849315068493,Y,0.9342465753424658,14.4-22.2w
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,56.27945205479452,Y,25.813698630136987,10.8-14.4w
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Private service staff,3,approved,44.97260273972603,Y,8.367123287671232,10.8-14.4w
F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,3,approved,39.863013698630134,Y,8.183561643835617,3.6-7.2w
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,47.57534246575342,Y,5.83013698630137,10.8-14.4w
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,66.40547945205479,N,,10.8-14.4w
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,Core staff,2,approved,31.32054794520548,Y,2.2465753424657535,10.8-14.4w
F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,60.47123287671233,N,,3.6-7.2w
F,Y,Y,1,162000.0,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,3,approved,38.964383561643835,Y,0.3863013698630137,14.4-22.2w
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,56.605479452054794,N,,14.4-22.2w
M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,Unknown,3,approved,28.98904109589041,Y,4.635616438356164,14.4-22.2w
F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,Managers,3,approved,41.21917808219178,Y,12.838356164383562,30-66w
M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,Core staff,2,approved,58.912328767123284,Y,4.586301369863014,22.2-30w
F,N,Y,0,90000.0,Working,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,40.4,Y,1.8986301369863015,7.2-10.8w
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,40.42739726027397,Y,1.5534246575342465,14.4-22.2w
F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Sales staff,1,approved,29.4,Y,2.4246575342465753,7.2-10.8w
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,59.12054794520548,N,,10.8-14.4w
M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,Unknown,2,approved,45.18082191780822,N,,10.8-14.4w
F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,59.93150684931507,N,,10.8-14.4w
F,N,Y,1,337500.0,Working,Higher education,not married,House / apartment,Unknown,2,approved,34.397260273972606,Y,7.586301369863014,30-66w
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,33.298630136986304,Y,4.238356164383561,7.2-10.8w
M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,64.78356164383561,N,,10.8-14.4w
M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,Laborers,2,approved,39.84109589041096,Y,8.70958904109589,14.4-22.2w
F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,67.15342465753425,N,,22.2-30w
F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,Core staff,2,approved,36.47945205479452,Y,14.257534246575343,10.8-14.4w
F,N,Y,1,117000.0,Working,Lower secondary,not married,House / apartment,Unknown,2,approved,48.30958904109589,Y,8.416438356164383,10.8-14.4w
F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,Security staff,4,approved,27.12054794520548,Y,0.8767123287671232,7.2-10.8w
M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,Unknown,1,approved,52.87123287671233,Y,6.764383561643836,30-66w
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,42.76986301369863,Y,1.5972602739726027,14.4-22.2w
M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,27.578082191780823,Y,2.2849315068493152,10.8-14.4w
F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,45.31780821917808,Y,2.9726027397260273,14.4-22.2w
F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,Unknown,4,approved,35.224657534246575,Y,3.8328767123287673,14.4-22.2w
F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,approved,46.81369863013698,Y,20.027397260273972,10.8-14.4w
M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,32.794520547945204,Y,4.789041095890411,22.2-30w
F,Y,Y,1,1575000.0,Commercial associate,Higher education,not married,House / apartment,Managers,2,approved,27.786301369863015,Y,6.791780821917809,>66w
M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,2,approved,55.1013698630137,Y,2.3972602739726026,22.2-30w
F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,Private service staff,4,approved,38.71780821917808,Y,7.684931506849315,14.4-22.2w
M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,Managers,4,approved,36.09315068493151,Y,6.786301369863014,14.4-22.2w
F,N,Y,0,162000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,approved,52.9041095890411,Y,4.046575342465753,14.4-22.2w
F,N,Y,1,216000.0,Working,Higher education,not married,House / apartment,Core staff,2,approved,28.8,Y,4.882191780821918,14.4-22.2w
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,41.43561643835616,Y,1.180821917808219,7.2-10.8w
F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,approved,54.68767123287671,N,,14.4-22.2w
M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,Drivers,2,approved,51.53150684931507,Y,3.8794520547945206,14.4-22.2w
F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,Unknown,1,approved,60.12054794520548,N,,22.2-30w
M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,Unknown,4,approved,38.271232876712325,Y,0.7205479452054795,22.2-30w
M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,Unknown,1,approved,31.838356164383562,Y,6.435616438356164,22.2-30w
F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,approved,66.58904109589041,N,,3.6-7.2w
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,Drivers,2,approved,29.97808219178082,Y,1.1287671232876713,22.2-30w
F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,4,approved,39.23561643835617,Y,19.364383561643837,7.2-10.8w
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,approved,47.12876712328767,Y,4.895890410958904,10.8-14.4w
